(('en el caso de', 1.0), 86, (1456, 1237), None, 'hsl(0, 100%, 30%)')
(('el sistema nervioso central', 0.053078509058556406), 5, (1382, 2134), None, 'hsl(240, 100%, 30%)')
(('la audiencia real de', 0.052920514286877558), 5, (1315, 2183), 2, 'hsl(240, 100%, 30%)')
(('garcía de la cadena', 0.052784670544305197), 5, (1321, 2281), 2, 'hsl(240, 100%, 30%)')
(('los dichos indios y', 0.052644998845680031), 5, (1324, 2244), 2, 'hsl(240, 100%, 30%)')
(('construcción de los ferrocarriles', 0.051322969765258845), 5, (1210, 2228), 2, 'hsl(240, 100%, 30%)')
(('un lugar que se', 0.049249685818968603), 5, (1352, 2079), 2, 'hsl(240, 100%, 30%)')
(('suspensión de las garantías', 0.048532674262512066), 4, (1472, 2100), None, 'hsl(241, 100%, 30%)')
(('audiencia real de la', 0.04847710917447922), 4, (1307, 2252), 2, 'hsl(241, 100%, 30%)')
(('junta de representantes de', 0.048423884814740831), 4, (1456, 2259), None, 'hsl(241, 100%, 30%)')
(('de sí mismos y', 0.048297530959834807), 4, (1208, 2220), 2, 'hsl(241, 100%, 30%)')
(('el señor senador por', 1.0), 27, (1644, 2022), None, 'hsl(155, 100%, 30%)')
(('del señor diputado por', 0.98437997355585538), 25, (1507, 2040), None, 'hsl(156, 100%, 30%)')
(('la comisión de obras', 0.57186195357873304), 19, (1594, 2109), None, 'hsl(195, 100%, 30%)')
(('diputado por buenos aires', 0.56289797015096643), 19, (1689, 2028), None, 'hsl(196, 100%, 30%)')
(('en la cuestion de', 0.3999443030076793), 15, (1722, 2106), None, 'hsl(212, 100%, 30%)')
(('seguridades de mi más', 0.38102754499263963), 15, (1614, 2107), None, 'hsl(213, 100%, 30%)')
(('que el señor senador', 0.34009207456259127), 14, (1669, 2022), None, 'hsl(217, 100%, 30%)')
(('de la propiedad intelectual', 0.33676274095984587), 14, (1547, 2053), None, 'hsl(218, 100%, 30%)')
(('si el señor diputado', 0.29424588596409695), 13, (1571, 2117), None, 'hsl(222, 100%, 30%)')
(('apreciación de las pruebas', 0.2522441493627699), 12, (1704, 2122), None, 'hsl(226, 100%, 30%)')
(('el señor diputado que', 0.23530618676200629), 12, (1746, 2144), None, 'hsl(227, 100%, 30%)')
(('gobierno de costa rica', 0.23356509305363732), 11, (1526, 2043), None, 'hsl(227, 100%, 30%)')
(('garcía hurtado de mendoza', 0.22317897802503678), 11, (1626, 2139), None, 'hsl(228, 100%, 30%)')
(('del sagrado corazón de', 0.21625039152734901), 10, (1674, 2163), None, 'hsl(229, 100%, 30%)')
(('fomento y obras públicas', 0.21196293167773822), 10, (1532, 2163), None, 'hsl(229, 100%, 30%)')
(('presidente del consejo nacional', 0.19478641548339515), 8, (1559, 2147), None, 'hsl(231, 100%, 30%)')
(('de fomento y obras', 0.19375209342733929), 8, (1562, 2092), 2, 'hsl(231, 100%, 30%)')
(('del río san juan', 0.18855046413610296), 8, (1585, 2054), 2, 'hsl(232, 100%, 30%)')
(('relaciones exteriores de los', 0.18496652626290733), 8, (1734, 2132), None, 'hsl(232, 100%, 30%)')
(('la escuela de aplicación', 0.18013912440633792), 8, (1553, 2040), 2, 'hsl(232, 100%, 30%)')
(('nicaragua y costa rica', 0.17420446803357323), 8, (1559, 2075), 2, 'hsl(233, 100%, 30%)')
(('para gastos de escritorio', 0.17371583444867558), 7, (1762, 2172), None, 'hsl(233, 100%, 30%)')
(('la provincia de guayana', 0.16185408115681135), 7, (1585, 2143), None, 'hsl(234, 100%, 30%)')
(('la asamblea legislativa de', 0.15903384475617469), 7, (1559, 2065), 2, 'hsl(234, 100%, 30%)')
(('dada en el palacio', 0.15890991135077198), 7, (1710, 2052), None, 'hsl(234, 100%, 30%)')
(('la excepción dilatoria de', 0.15705720053227107), 7, (1637, 2214), None, 'hsl(235, 100%, 30%)')
(('la sociedad de gananciales', 0.14752695435468213), 7, (1641, 2102), None, 'hsl(236, 100%, 30%)')
(('excelencia las seguridades de', 0.14722497934261544), 6, (1680, 2054), None, 'hsl(236, 100%, 30%)')
(('que el honorable senado', 0.14528871146918546), 6, (1534, 2077), None, 'hsl(236, 100%, 30%)')
(('vuestra excelencia las seguridades', 0.14402770119905425), 5, (1713, 2138), None, 'hsl(236, 100%, 30%)')
(('lo interior y policía', 0.14258672797750388), 5, (1550, 2248), None, 'hsl(236, 100%, 30%)')
(('leída y aprobada el', 0.14170287533498796), 5, (1526, 2298), 2, 'hsl(236, 100%, 30%)')
(('la audiencia de guatemala', 0.14069473012409581), 5, (1529, 2289), 2, 'hsl(236, 100%, 30%)')
(('en el dominio público', 0.13707586188672202), 5, (1564, 2083), 2, 'hsl(237, 100%, 30%)')
(('el proyecto del poder', 0.13578587545021639), 5, (1770, 2171), None, 'hsl(237, 100%, 30%)')
(('relaciones exteriores de colombia', 0.12981331335651375), 4, (1685, 2171), None, 'hsl(237, 100%, 30%)')
(('de colombia y del', 0.12765043868294454), 4, (1579, 2239), 2, 'hsl(237, 100%, 30%)')
(('francisco de la cruz', 0.12032530017044606), 4, (1556, 2281), 2, 'hsl(238, 100%, 30%)')
(('el río san juan', 0.11881410111238723), 4, (1577, 2102), 2, 'hsl(238, 100%, 30%)')
(('que el derecho a', 0.11574759415018754), 4, (1540, 2077), None, 'hsl(239, 100%, 30%)')
(('de esta honorable cámara', 0.11527269981271195), 4, (1583, 2034), 2, 'hsl(239, 100%, 30%)')
(('la celebración del juicio', 0.11270813953417236), 4, (1666, 2015), 2, 'hsl(239, 100%, 30%)')
(('de mil ochocientos noventa', 1.0), 23, (1834, 1926), None, 'hsl(78, 100%, 30%)')
(('código de procedimientos civiles', 0.56030156286480004), 17, (1876, 1930), None, 'hsl(153, 100%, 30%)')
(('se refiere á los', 0.43917023681686779), 15, (1900, 2033), 2, 'hsl(174, 100%, 30%)')
(('ejecutivo de la unión', 0.38714424281904214), 14, (1856, 1954), None, 'hsl(183, 100%, 30%)')
(('de comunicaciones y obras', 0.32646696578406353), 13, (1890, 2055), 2, 'hsl(194, 100%, 30%)')
(('comunicaciones y obras públicas', 0.28873872674577228), 11, (1775, 1980), None, 'hsl(200, 100%, 30%)')
(('lo que dicho tiene', 0.28722764481554403), 11, (1798, 2073), None, 'hsl(200, 100%, 30%)')
(('de base á la', 0.26591169013647359), 11, (1900, 1968), 2, 'hsl(204, 100%, 30%)')
(('lo que á la', 0.24699278675963246), 11, (1720, 2000), 2, 'hsl(207, 100%, 30%)')
(('en atención á que', 0.24436914822547245), 11, (1931, 2100), 2, 'hsl(208, 100%, 30%)')
(('la secretaría de comunicaciones', 0.24144145169816564), 11, (1820, 2066), None, 'hsl(208, 100%, 30%)')
(('secretaría de comunicaciones y', 0.22059840856749993), 11, (1889, 2075), 2, 'hsl(212, 100%, 30%)')
(('de la república acuerda', 0.21405232694934048), 11, (1893, 2016), 2, 'hsl(213, 100%, 30%)')
(('la palabra se va', 0.20666700770312388), 11, (1895, 2102), None, 'hsl(214, 100%, 30%)')
(('museo de la plata', 0.20501857713979366), 11, (1907, 2121), 2, 'hsl(214, 100%, 30%)')
(('y á la vez', 0.19371150445311666), 11, (1753, 2044), None, 'hsl(216, 100%, 30%)')
(('tribunal de lo contencioso', 0.18531576040124073), 11, (1907, 2086), 2, 'hsl(218, 100%, 30%)')
(('el juez de instrucción', 0.18166754837674487), 11, (1812, 1952), None, 'hsl(218, 100%, 30%)')
(('de la unión cívica', 0.17870885011695761), 11, (1893, 1989), 2, 'hsl(219, 100%, 30%)')
(('para el juramento que', 0.17731599809160931), 10, (1792, 1958), None, 'hsl(219, 100%, 30%)')
(('en la gacela de', 0.16561640607153588), 10, (1916, 2001), 2, 'hsl(221, 100%, 30%)')
(('dado en el salón', 0.16535455707845045), 10, (1859, 2117), None, 'hsl(221, 100%, 30%)')
(('el ministro de obras', 0.16107644623829326), 9, (1801, 1961), None, 'hsl(222, 100%, 30%)')
(('dicha ciudad de santiago', 0.15516237762658247), 9, (1806, 2132), None, 'hsl(223, 100%, 30%)')
(('del tribunal de lo', 0.15123768327507453), 9, (1919, 2132), 2, 'hsl(224, 100%, 30%)')
(('en acuerdo general de', 0.15062210479408542), 7, (1765, 2016), None, 'hsl(224, 100%, 30%)')
(('la transmisión de la', 0.14942957673037491), 7, (1822, 1974), None, 'hsl(224, 100%, 30%)')
(('el escrito de fs', 0.14336308369285961), 7, (1830, 2115), None, 'hsl(225, 100%, 30%)')
(('ochocientos noventa y nueve', 0.14084087093464256), 7, (1787, 2090), None, 'hsl(225, 100%, 30%)')
(('la comisión de instrucción', 0.14016804171743524), 7, (1868, 2074), None, 'hsl(225, 100%, 30%)')
(('aduana de la capital', 0.13733477050842766), 7, (1967, 2065), 2, 'hsl(226, 100%, 30%)')
(('don diego de almagro', 0.13699612422334417), 7, (1897, 1977), 2, 'hsl(226, 100%, 30%)')
(('el auto de fs', 0.13688177785180947), 7, (1867, 2023), None, 'hsl(226, 100%, 30%)')
(('don pedro de valdivia', 0.13457995287571078), 7, (1935, 2045), 2, 'hsl(226, 100%, 30%)')
(('margen izquierda del río', 0.13143139136861648), 6, (1743, 2010), None, 'hsl(227, 100%, 30%)')
(('la sentencia de fs', 0.12771959361075758), 6, (1897, 1916), None, 'hsl(228, 100%, 30%)')
(('de mill e quinientos', 0.12499501173162886), 6, (1906, 2133), None, 'hsl(228, 100%, 30%)')
(('monto de la indemnización', 0.12455010052612042), 6, (1852, 2093), None, 'hsl(228, 100%, 30%)')
(('el teniente coronel don', 0.12233659528846556), 6, (1919, 2113), 2, 'hsl(229, 100%, 30%)')
(('san juan del río', 0.11289181411699248), 6, (1904, 1953), 2, 'hsl(230, 100%, 30%)')
(('oficio de la inquisición', 0.11078910757383199), 6, (1911, 2142), 2, 'hsl(230, 100%, 30%)')
(('la oficina nacional de', 0.10774218207948211), 6, (1892, 2025), 2, 'hsl(231, 100%, 30%)')
(('el abogado del estado', 0.10737410413138256), 6, (1809, 2062), None, 'hsl(231, 100%, 30%)')
(('de que instruye el', 0.1067958867999259), 6, (1913, 2151), 2, 'hsl(231, 100%, 30%)')
(('ochocientos noventa y cuatro', 0.10527183652843344), 5, (1784, 1963), None, 'hsl(231, 100%, 30%)')
(('sentencia apelada de fs', 0.10416765549078287), 5, (1867, 2158), None, 'hsl(232, 100%, 30%)')
(('de falta de personería', 0.10367626080730377), 5, (1867, 1967), None, 'hsl(232, 100%, 30%)')
(('la ubicación de la', 0.10344717973225213), 5, (1902, 1910), None, 'hsl(232, 100%, 30%)')
(('dos ó tres días', 0.10150953370730686), 5, (2007, 2051), 2, 'hsl(232, 100%, 30%)')
(('se refiere la fracción', 0.10120391526527013), 5, (1866, 1905), None, 'hsl(232, 100%, 30%)')
(('en los territorios nacionales', 0.10081210589313543), 5, (1829, 2163), None, 'hsl(232, 100%, 30%)')
(('el recurso de revisión', 0.098848586376638542), 5, (1910, 2069), 2, 'hsl(233, 100%, 30%)')
(('dirección general de impuestos', 0.098660852515858502), 4, (1873, 2000), None, 'hsl(233, 100%, 30%)')
(('acuerdo general de ministros', 0.097531717143732238), 4, (1813, 2173), None, 'hsl(233, 100%, 30%)')
(('ochocientos noventa y siete', 0.09748405078734923), 4, (1915, 2157), 2, 'hsl(233, 100%, 30%)')
(('ochocientos noventa y ocho', 0.097123535314017087), 4, (1895, 2094), 2, 'hsl(233, 100%, 30%)')
(('de la nación mexicana', 0.096379287847311895), 4, (1944, 2094), 2, 'hsl(233, 100%, 30%)')
(('rey don alfonso xiii', 0.09627489692524184), 4, (1912, 2010), 2, 'hsl(233, 100%, 30%)')
(('en mar del plata', 0.094514480082515784), 4, (1763, 2098), None, 'hsl(233, 100%, 30%)')
(('la casa de borbón', 0.093307815318577167), 4, (1921, 1961), 2, 'hsl(233, 100%, 30%)')
(('moneda de curso legal', 0.092585899209596978), 4, (1832, 1940), None, 'hsl(234, 100%, 30%)')
(('ochocientos noventa y cinco', 0.092114847946101391), 4, (1852, 1912), None, 'hsl(234, 100%, 30%)')
(('años y un día', 0.091647547277344282), 4, (1881, 2194), 2, 'hsl(234, 100%, 30%)')
(('que los dichos indios', 0.090496558832217411), 4, (1989, 2025), 2, 'hsl(234, 100%, 30%)')
(('de la junta departamental', 0.088923022526404258), 4, (1890, 1900), None, 'hsl(234, 100%, 30%)')
(('por mandado del dicho', 0.088606265279114069), 4, (1890, 2146), None, 'hsl(234, 100%, 30%)')
(('la posesión de estado', 0.088021213438392823), 4, (1787, 2048), None, 'hsl(234, 100%, 30%)')
(('nuestro consejo de las', 0.087663405557550339), 4, (1967, 2009), 2, 'hsl(234, 100%, 30%)')
(('en representación del ejecutivo', 0.087649027512509983), 4, (1736, 2009), None, 'hsl(234, 100%, 30%)')
(('el dicho alonso de', 0.086445214404501605), 4, (1815, 2130), None, 'hsl(235, 100%, 30%)')
(('comisiones de la cámara', 0.085090103704033887), 4, (1872, 1893), None, 'hsl(235, 100%, 30%)')
(('de instrucción de la', 0.083669316985580985), 4, (1853, 2176), None, 'hsl(235, 100%, 30%)')
(('de la sagrada congregación', 0.083519617282920094), 4, (1768, 2097), None, 'hsl(235, 100%, 30%)')
(('lectura al acta de', 0.08312558501289298), 4, (1906, 1920), None, 'hsl(235, 100%, 30%)')
(('la sagrada congregación de', 0.083004185202410957), 4, (1724, 1992), 2, 'hsl(235, 100%, 30%)')
(('la libertad de trabajo', 0.082617818539322735), 4, (1916, 2164), 2, 'hsl(235, 100%, 30%)')
(('se confirma el auto', 0.082588597314357207), 4, (2002, 2037), 2, 'hsl(235, 100%, 30%)')
(('recurso de apelación interpuesto', 0.081449962411257931), 4, (1971, 2030), 2, 'hsl(236, 100%, 30%)')
(('la junta departamental de', 0.081297866654583745), 4, (1917, 2051), 2, 'hsl(236, 100%, 30%)')
(('en las dichas provincias', 0.080636626483522669), 4, (1985, 2095), 2, 'hsl(236, 100%, 30%)')
(('debía tener lugar en', 0.080465724860044982), 4, (1910, 2170), 2, 'hsl(236, 100%, 30%)')
(('voto por la afirmativa', 0.08026043172696358), 4, (1797, 2170), None, 'hsl(236, 100%, 30%)')
(('proyecto de ley artículo', 0.079844659983190264), 4, (1815, 2074), None, 'hsl(236, 100%, 30%)')
(('dado la ley siguiente', 1.0), 31, (2045, 1746), None, 'hsl(159, 100%, 30%)')
(('de tierras y colonias', 0.86296709905413038), 29, (2004, 1727), None, 'hsl(171, 100%, 30%)')
(('provincia de santa fe', 0.81296201193124118), 27, (2082, 1758), None, 'hsl(176, 100%, 30%)')
(('octubre de mil novecientos', 0.81257505997577606), 19, (2103, 1764), None, 'hsl(176, 100%, 30%)')
(('derecho y ciencias sociales', 0.71653374494492394), 17, (2124, 1774), None, 'hsl(185, 100%, 30%)')
(('id id id id', 0.69265477902045136), 17, (1966, 1800), None, 'hsl(187, 100%, 30%)')
(('del ministerio de obras', 0.68244274387964921), 16, (2142, 1792), None, 'hsl(188, 100%, 30%)')
(('la república de cuba', 0.66239477393556567), 16, (1980, 1754), None, 'hsl(190, 100%, 30%)')
(('que á continuación se', 0.65279797758390667), 15, (2157, 1782), None, 'hsl(190, 100%, 30%)')
(('de accidentes del trabajo', 0.64501383592659611), 13, (2027, 1876), None, 'hsl(191, 100%, 30%)')
(('audiencia de la habana', 0.63417670455169795), 12, (1950, 1816), None, 'hsl(192, 100%, 30%)')
(('dése al registro oficial', 0.63193733879671921), 11, (2170, 1803), None, 'hsl(192, 100%, 30%)')
(('la escuela superior de', 0.57874148145192117), 11, (2183, 1794), None, 'hsl(197, 100%, 30%)')
(('dirección general de correos', 0.54314291871888565), 10, (2069, 1742), None, 'hsl(200, 100%, 30%)')
(('septiembre de mil novecientos', 0.48810043846306916), 9, (2028, 1725), None, 'hsl(205, 100%, 30%)')
(('al registro nacional y', 0.47594675544766313), 9, (1966, 1878), None, 'hsl(206, 100%, 30%)')
(('dirección de obras públicas', 0.46820364563564126), 8, (1993, 1795), None, 'hsl(207, 100%, 30%)')
(('la provincia de tucumán', 0.45353054131017206), 8, (1936, 1830), None, 'hsl(208, 100%, 30%)')
(('código de procedimientos penales', 0.44536049421869017), 7, (2071, 1950), None, 'hsl(209, 100%, 30%)')
(('general de correos y', 0.43641566539082649), 7, (2204, 1798), None, 'hsl(210, 100%, 30%)')
(('congreso ha dado la', 0.42698964507990039), 7, (1994, 1920), None, 'hsl(211, 100%, 30%)')
(('mili y seiscientos y', 0.41596573449752755), 6, (1921, 1860), None, 'hsl(212, 100%, 30%)')
(('de mili y seiscientos', 0.41493789434065986), 5, (1980, 1910), None, 'hsl(212, 100%, 30%)')
(('dictaminado por el señor', 0.35875119467903849), 5, (2194, 1839), None, 'hsl(217, 100%, 30%)')
(('de procedimientos en lo', 0.34653547217919289), 5, (2007, 1855), 2, 'hsl(218, 100%, 30%)')
(('estados unidos del brasil', 0.34045729722999485), 5, (1994, 1725), None, 'hsl(219, 100%, 30%)')
(('la dirección de tierras', 0.33926803195747457), 5, (2037, 1897), None, 'hsl(219, 100%, 30%)')
(('el presidente constitucional de', 0.33606416224279156), 4, (2035, 1745), None, 'hsl(219, 100%, 30%)')
(('ciudad de la concepción', 0.32044462288022779), 4, (2046, 1902), 2, 'hsl(221, 100%, 30%)')
(('alta y distinguida consideración', 0.31973722603077864), 4, (2082, 1760), None, 'hsl(221, 100%, 30%)')
(('el dicho francisco de', 0.31903402536200398), 4, (2079, 1933), None, 'hsl(221, 100%, 30%)')
(('sala de la comisión', 1.0), 32, (2204, 1509), None, 'hsl(169, 100%, 30%)')
(('diciembre de mil novecientos', 0.94939228775349027), 21, (2230, 1506), None, 'hsl(173, 100%, 30%)')
(('la revolución de mayo', 0.92268751557022022), 21, (2134, 1506), None, 'hsl(175, 100%, 30%)')
(('noviembre de mil novecientos', 0.88962051278704724), 19, (2177, 1504), None, 'hsl(178, 100%, 30%)')
(('pública y bellas artes', 0.84441297965477558), 19, (2246, 1504), None, 'hsl(182, 100%, 30%)')
(('instrucción pública y bellas', 0.79867025657631374), 17, (2081, 1526), None, 'hsl(185, 100%, 30%)')
(('de mil novecientos diez', 0.78604694466464842), 16, (2114, 1546), None, 'hsl(186, 100%, 30%)')
(('cuanto el congreso nacional', 0.75329444767028753), 15, (2155, 1538), None, 'hsl(189, 100%, 30%)')
(('marzo de mil novecientos', 0.73787666180588252), 14, (2054, 1537), None, 'hsl(190, 100%, 30%)')
(('mil novecientos diez y', 0.66038884599399506), 13, (2273, 1504), None, 'hsl(197, 100%, 30%)')
(('del canal de panamá', 0.61498168156314048), 12, (2034, 1599), None, 'hsl(200, 100%, 30%)')
(('comisión de obras públicas', 0.5966150309149193), 10, (2098, 1544), None, 'hsl(202, 100%, 30%)')
(('de tacna y arica', 0.59435002021797079), 10, (2066, 1514), None, 'hsl(202, 100%, 30%)')
(('el general san martín', 0.58204512733632241), 10, (2285, 1506), None, 'hsl(203, 100%, 30%)')
(('de pinar del río', 0.57402090399485617), 10, (2261, 1649), None, 'hsl(203, 100%, 30%)')
(('unidas del río de', 0.52594857966169606), 10, (2193, 1629), None, 'hsl(207, 100%, 30%)')
(('provincias unidas del río', 0.51656529248981453), 10, (2066, 1606), None, 'hsl(208, 100%, 30%)')
(('de mi más alta', 0.50887147480389083), 10, (2103, 1732), 2, 'hsl(209, 100%, 30%)')
(('llévese a efecto como', 0.49667564457672447), 9, (2042, 1509), None, 'hsl(210, 100%, 30%)')
(('de la oficina internacional', 0.48720350221496467), 9, (2192, 1511), None, 'hsl(210, 100%, 30%)')
(('la jornada de trabajo', 0.48362818223748372), 9, (2246, 1694), None, 'hsl(211, 100%, 30%)')
(('no se incluya en', 0.46970484595084255), 9, (2020, 1647), None, 'hsl(212, 100%, 30%)')
(('del general san martín', 0.4505325923180683), 7, (2295, 1504), None, 'hsl(213, 100%, 30%)')
(('propuesta del secretario de', 0.44523003601249528), 7, (2167, 1639), None, 'hsl(214, 100%, 30%)')
(('ley orgánica del poder', 0.42287099791647914), 7, (2193, 1711), None, 'hsl(216, 100%, 30%)')
(('provincias del río de', 0.41798393406014012), 7, (2271, 1643), None, 'hsl(216, 100%, 30%)')
(('secretaría de instrucción pública', 0.4166549549533774), 6, (2167, 1510), None, 'hsl(216, 100%, 30%)')
(('palacio de la presidencia', 0.40201931013411563), 6, (2201, 1630), None, 'hsl(217, 100%, 30%)')
(('con imputación a la', 0.40105933820369893), 6, (2117, 1746), 2, 'hsl(217, 100%, 30%)')
(('se va a dar', 0.39919979452494686), 6, (2056, 1504), None, 'hsl(217, 100%, 30%)')
(('la comisión de asuntos', 0.38974783985715328), 6, (2061, 1505), 2, 'hsl(218, 100%, 30%)')
(('las cámaras de comercio', 0.38757171065807927), 6, (2046, 1649), None, 'hsl(218, 100%, 30%)')
(('la conferencia de la', 0.3791593741531134), 6, (2078, 1519), 2, 'hsl(219, 100%, 30%)')
(('la comisión de constitución', 0.37698356754991919), 5, (2027, 1620), None, 'hsl(219, 100%, 30%)')
(('de pesos moneda nacional', 0.36982362467943197), 5, (2130, 1657), None, 'hsl(220, 100%, 30%)')
(('congreso nacional ha dado', 0.35535758266718265), 5, (2262, 1582), None, 'hsl(221, 100%, 30%)')
(('nacional ha dado su', 0.35172712137295631), 5, (2098, 1725), 2, 'hsl(221, 100%, 30%)')
(('las provincias del río', 0.34873101171264853), 5, (2280, 1634), None, 'hsl(222, 100%, 30%)')
(('para los fines constitucionales', 0.34603383944190041), 4, (2152, 1514), None, 'hsl(222, 100%, 30%)')
(('la secretaría de instrucción', 0.33998972229165292), 4, (2113, 1740), 2, 'hsl(222, 100%, 30%)')
(('su aprobación al siguiente', 0.33122881372866442), 4, (2151, 1617), None, 'hsl(223, 100%, 30%)')
(('boletín de la real', 0.33074716653770109), 4, (2031, 1669), None, 'hsl(223, 100%, 30%)')
(('a la presente ley', 0.32200274480483987), 4, (2107, 1680), None, 'hsl(224, 100%, 30%)')
(('millones de pesos oro', 0.31966590840234649), 4, (2094, 1536), 2, 'hsl(224, 100%, 30%)')
(('código de justicia militar', 0.31134589327317175), 4, (2091, 1512), 2, 'hsl(225, 100%, 30%)')
(('de instituciones de crédito', 0.30790121275890592), 4, (2133, 1757), 2, 'hsl(225, 100%, 30%)')
(('gobierno de la confederación', 0.30239086014896477), 4, (2127, 1579), None, 'hsl(225, 100%, 30%)')
(('mi más alta consideración', 0.2999864686689091), 4, (2255, 1726), None, 'hsl(225, 100%, 30%)')
(('cincuenta pesos moneda nacional', 0.28762735183260729), 4, (2107, 1562), None, 'hsl(226, 100%, 30%)')
(('de enseñanza secundaria y', 0.28707243953471379), 4, (2074, 1684), None, 'hsl(226, 100%, 30%)')
(('el canal de panamá', 0.2837589568092192), 4, (2097, 1527), 2, 'hsl(227, 100%, 30%)')
(('banco de la nación', 1.0), 32, (2205, 1208), None, 'hsl(91, 100%, 30%)')
(('despacho de la comisión', 0.85077553875454426), 23, (2165, 1227), None, 'hsl(114, 100%, 30%)')
(('la comisión de presupuesto', 0.82782538711860831), 21, (2229, 1214), None, 'hsl(118, 100%, 30%)')
(('el consejo nacional de', 0.73134863097365266), 20, (2103, 1288), None, 'hsl(133, 100%, 30%)')
(('la moción del señor', 0.71931609655567885), 19, (2259, 1312), None, 'hsl(135, 100%, 30%)')
(('la secretaría de agricultura', 0.46868052563025048), 15, (2045, 1293), None, 'hsl(175, 100%, 30%)')
(('de ley del señor', 0.42118882803879232), 14, (2126, 1305), None, 'hsl(183, 100%, 30%)')
(('diputado por la capital', 0.4198027582473346), 14, (2075, 1332), None, 'hsl(183, 100%, 30%)')
(('junio de mil novecientos', 0.40603772464680582), 13, (2144, 1346), None, 'hsl(185, 100%, 30%)')
(('mayo de mil novecientos', 0.39780063182995712), 12, (2276, 1353), None, 'hsl(186, 100%, 30%)')
(('enero de mil novecientos', 0.39725924790943645), 11, (2184, 1342), None, 'hsl(186, 100%, 30%)')
(('la caja nacional de', 0.36852884226343657), 11, (2142, 1235), None, 'hsl(191, 100%, 30%)')
(('contribución al estudio de', 0.32454517463367044), 10, (2061, 1287), None, 'hsl(198, 100%, 30%)')
(('febrero de mil novecientos', 0.32252657097610687), 9, (2246, 1218), None, 'hsl(198, 100%, 30%)')
(('la constitución política del', 0.31009520428627319), 8, (2090, 1257), None, 'hsl(200, 100%, 30%)')
(('la comisión de negocios', 0.30136786487266498), 7, (2194, 1244), None, 'hsl(202, 100%, 30%)')
(('comisión de negocios constitucionales', 0.2942800302982449), 6, (2193, 1336), None, 'hsl(203, 100%, 30%)')
(('de dos o más', 0.26970184485750431), 6, (2204, 1220), None, 'hsl(207, 100%, 30%)')
(('los estados unidos a', 0.26851761169205246), 6, (2196, 1486), 2, 'hsl(207, 100%, 30%)')
(('para el funcionamiento de', 0.26332452875701512), 5, (2060, 1416), None, 'hsl(208, 100%, 30%)')
(('la caja de conversión', 0.25241858248989008), 5, (2041, 1276), 2, 'hsl(209, 100%, 30%)')
(('el orden del día', 0.22994359197466588), 5, (2134, 1258), None, 'hsl(213, 100%, 30%)')
(('de mar del plata', 0.22275417077182896), 5, (2132, 1449), None, 'hsl(214, 100%, 30%)')
(('de la asistencia pública', 0.20812749091683944), 5, (2041, 1485), 2, 'hsl(216, 100%, 30%)')
(('más o menos en', 0.20675669866006749), 5, (2005, 1292), 2, 'hsl(217, 100%, 30%)')
(('de la caja nacional', 0.20280036547058952), 5, (2004, 1296), 2, 'hsl(217, 100%, 30%)')
(('de mil novecientos veinte', 0.1986218154399155), 5, (2186, 1491), 2, 'hsl(218, 100%, 30%)')
(('de la inspección general', 0.19267984493196028), 5, (2025, 1314), None, 'hsl(219, 100%, 30%)')
(('orden del día de', 0.18837430404424976), 5, (2253, 1362), None, 'hsl(220, 100%, 30%)')
(('al consejo nacional de', 0.18411100434830657), 5, (2139, 1330), 2, 'hsl(220, 100%, 30%)')
(('por el consejo nacional', 0.1811927456217356), 5, (2121, 1409), None, 'hsl(221, 100%, 30%)')
(('de la estación experimental', 0.1805208808067966), 4, (2118, 1288), None, 'hsl(221, 100%, 30%)')
(('se han llevado a', 0.17853773857722088), 4, (2247, 1448), None, 'hsl(221, 100%, 30%)')
(('muy superior a la', 0.17441600491968368), 4, (2161, 1406), None, 'hsl(222, 100%, 30%)')
(('de uno o más', 0.17040792290132534), 4, (2039, 1364), None, 'hsl(222, 100%, 30%)')
(('los empleados y obreros', 0.1702971635129128), 4, (2137, 1406), None, 'hsl(222, 100%, 30%)')
(('el proyecto de resolución', 0.16720846672414438), 4, (2069, 1284), None, 'hsl(223, 100%, 30%)')
(('insértese en el boletín', 0.16440441524267602), 4, (2289, 1384), None, 'hsl(223, 100%, 30%)')
(('dejar constancia de que', 0.16342026889923272), 4, (2054, 1491), 2, 'hsl(224, 100%, 30%)')
(('los elementos de juicio', 0.1563388585760391), 4, (2297, 1452), None, 'hsl(225, 100%, 30%)')
(('lugar a la formación', 0.15205914614863295), 4, (2009, 1303), 2, 'hsl(225, 100%, 30%)')
(('ciencias jurídicas y sociales', 0.14915706591674427), 4, (2090, 1396), None, 'hsl(226, 100%, 30%)')
(('lo referente a las', 0.14860842162648985), 4, (2031, 1286), 2, 'hsl(226, 100%, 30%)')
(('en el presupuesto nacional', 0.14736531665873259), 4, (2031, 1336), None, 'hsl(226, 100%, 30%)')
(('de mayor o menor', 0.1468164152846583), 4, (2254, 1233), None, 'hsl(226, 100%, 30%)')
(('se reduce a la', 0.14554173724543468), 4, (2253, 1295), 2, 'hsl(226, 100%, 30%)')
(('en la argentina y', 0.14361209117811638), 4, (2112, 1249), 2, 'hsl(227, 100%, 30%)')
(('departamento de agricultura de', 0.14172405636418628), 4, (2289, 1433), None, 'hsl(227, 100%, 30%)')
(('por la asociación de', 0.1394428365727334), 4, (2155, 1229), None, 'hsl(227, 100%, 30%)')
